text,phase,sentiment
"So beautifully acted and directed , it 's clear that Washington most certainly has a new career ahead of him if he so chooses .",train,3
The acting is n't much better .,train,1
"Exactly what its title implies : lusty , boisterous and utterly charming .",train,3
` What 's the Russian word for Wow !? ',train,3
( Siegel ) and co-writers Lisa Bazadona and Grace Woodard have relied too much on convention in creating the characters who surround Frankie .,train,1
The movie 's downfall is to substitute plot for personality .,train,1
"Some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares .",train,1
The script by Vincent R. Nebrida ... tries to cram too many ingredients into one small pot .,train,1
I 'm afraid you wo n't get through this frankly fantastical by-the-numbers B-flick with just a suspension of disbelief .,train,2
"An entertaining British hybrid of comedy , caper thrills and quirky romance .",train,3
It turns out to be smarter and more diabolical than you could have guessed at the beginning .,train,3
"It may not be particularly innovative , but the film 's crisp , unaffected style and air of gentle longing make it unexpectedly rewarding .",train,3
Richard Gere and Diane Lane put in fine performances as does French actor Oliver Martinez .,train,3
"` Lovely and Amazing , ' unhappily , is neither ... excessively strained and contrived .",train,2
"Been there , done that ... a thousand times already , and better .",train,1
The film was immensely enjoyable thanks to great performances by both Steve Buscemi and Rosario Dawson ...,train,3
"While Solondz tries and tries hard , Storytelling fails to provide much more insight than the inside column of a torn book jacket .",train,1
"Yes , dull .",train,1
"A terrific date movie , whatever your orientation .",train,3
"Graphic sex may be what 's attracting audiences to Unfaithful , but gripping performances by Lane and Gere are what will keep them awake .",train,3
"While the film is not entirely successful , it still manages to string together enough charming moments to work .",train,3
The movie is as padded as Allen 's jelly belly .,train,1
Too bad writer-director Adam Rifkin situates it all in a plot as musty as one of the Golden Eagle 's carpets .,train,1
( The film 's ) taste for `` shock humor '' will wear thin on all but those weaned on the comedy of Tom Green and the Farrelly Brothers .,train,1
"Feels like pieces a bunch of other , better movies slapped together .",train,1
An original gem about an obsession with time .,train,3
A clichéd and shallow cautionary tale about the hard-partying lives of gay men .,train,1
"There is something in Full Frontal , I guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see .",train,1
"Cattaneo should have followed the runaway success of his first film , The Full Monty , with something different .",train,2
"According to Wendigo , ` nature ' loves the members of the upper class almost as much as they love themselves .",train,3
A brutally dry satire of Middle American numbness .,train,1
The crap continues .,train,1
Message movie or an action-packed submarine spectacular ?,train,3
Mattei 's underdeveloped effort here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from Stock Character camp -- a drowsy drama infatuated by its own pretentious self-examination .,train,1
Vile and tacky are the two best adjectives to describe Ghost Ship .,train,1
"At a time when commercialism has squeezed the life out of whatever idealism American moviemaking ever had , Godfrey Reggio 's career shines like a lonely beacon .",train,3
"It never quite makes it to the boiling point , but manages to sustain a good simmer for most of its running time .",train,3
"For every articulate player , such as skateboarder Tony Hawk or BMX rider Mat Hoffman , are about a half dozen young Turks angling to see how many times they can work the words `` radical '' or `` suck '' into a sentence .",train,1
should be seen at the very least for its spasms of absurdist humor .,train,2
"Screenwriter Chris ver Weil 's directing debut is good-natured and never dull , but its virtues are small and easily overshadowed by its predictability .",train,2
"Assured , vital and well wrought , the film is , arguably , the most accomplished work to date from Hong Kong 's versatile Stanley Kwan .",train,3
It still feels like a prison stretch .,train,1
"works , it 's thanks to Huston 's revelatory performance .",train,3
Full Frontal is the antidote for Soderbergh fans who think he 's gone too commercial since his two Oscar nominated films in 2000,train,3
"Her film is like a beautiful food entrée that is n't heated properly , so that it ends up a bit cold and relatively flavorless .",train,1
Tender yet lacerating and darkly funny fable .,train,3
"Everything 's serious , poetic , earnest and -- sadly -- dull .",train,1
"Claude Chabrol has here a thriller without thrills , but that 's okay .",train,2
It 's a rare window on an artistic collaboration .,train,3
Video games are more involving than this mess .,train,1
Love Liza is a festival film that would have been better off staying on the festival circuit .,train,1
A peculiar misfire that even Tunney ca n't save .,train,1
"A sloppy , amusing comedy that proceeds from a stunningly unoriginal premise .",train,3
"The movie is n't just hilarious : It 's witty and inventive , too , and in hindsight , it is n't even all that dumb .",train,3
Not since Freddy Got Fingered has a major release been so painful to sit through .,train,1
Mendes still does n't quite know how to fill a frame .,train,1
The film 's intimate camera work and searing performances pull us deep into the girls ' confusion and pain as they struggle tragically to comprehend the chasm of knowledge that 's opened between them .,train,3
It 's just plain boring .,train,2
"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",train,3
"Chicago is sophisticated , brash , sardonic , completely joyful in its execution .",train,3
Guys say mean things and shoot a lot of bullets .,train,1
"Unlike most anime , whose most ardent fans outside Japan seem to be introverted young men with fantasy fetishes , Metropolis never seems hopelessly juvenile .",train,3
"She 's all-powerful , a voice for a pop-cyber culture that feeds on her Bjorkness .",train,3
The movie generates plot points with a degree of randomness usually achieved only by lottery drawing .,train,1
Though Haynes ' style apes films from the period ... its message is not rooted in that decade .,train,2
Our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender -- and I know this because I 've seen ` jackass : the movie . ',train,1
"A perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .",train,2
A worthy tribute to a great humanitarian and her vibrant ` co-stars . ',train,3
"An incredibly low-rent Danish film , it brings a group of people together in a sweet and charming way , if a little convenient",train,3
"The increasingly diverse French director has created a film that one can honestly describe as looking , sounding and simply feeling like no other film in recent history .",train,3
"likeable thanks to its cast , its cuisine and its quirky tunes .",train,3
"It leers , offering next to little insight into its intriguing subject .",train,1
"It feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .",train,1
"Yes , soar .",train,3
"Coy but exhilarating , with really solid performances by Ving Rhames and Wesley Snipes .",train,3
A very pretty after-school special .,train,2
The ending feels at odds with the rest of the film .,train,3
So could young romantics out on a date .,train,3
"If Damon and Affleck attempt another Project Greenlight , next time out they might try paying less attention to the miniseries and more attention to the film it is about .",train,1
"Pascale Bailly 's rom-com provides Amélie 's Audrey Tautou with another fabuleux destin -- i.e. , a banal spiritual quest .",train,1
It 's the type of stunt the Academy loves : a powerful political message stuffed into an otherwise mediocre film .,train,2
"Even by dumb action-movie standards , Ballistic : Ecks vs. Sever is a dumb action movie .",train,1
Daughter From Danang reveals that efforts toward closure only open new wounds .,train,1
"The film 's messages of tolerance and diversity are n't particularly original , but one ca n't help but be drawn in by the sympathetic characters .",train,3
"Theological matters aside , the movie is so clumsily sentimental and ineptly directed it may leave you speaking in tongues .",train,1
"Scene-by-scene , things happen , but you 'd be hard-pressed to say what or why .",train,1
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",train,1
"Where Janice Beard falters in its recycled aspects , implausibility , and sags in pace , it rises in its courageousness , and comedic employment .",train,3
With Spy Kids 2 : The Island of Lost Dreams writer/director/producer Robert Rodriguez has cobbled together a film that feels like a sugar high gone awry .,train,1
"It 's at once laughable and compulsively watchable , in its committed dumbness .",train,3
"Although the subject matter may still be too close to recent national events , the film works - mostly due to its superior cast of characters .",train,3
The story ultimately takes hold and grips hard .,train,3
"... a somber film , almost completely unrelieved by any comedy beyond the wistful everyday ironies of the working poor .",train,2
A lovably old-school Hollywood confection .,train,3
"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",train,3
"Fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water .",train,1
"Yet another iteration of what 's become one of the movies ' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally `` superior '' friends , family ...",train,1
"Unlike the speedy wham-bam effect of most Hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of Italian for Beginners .",train,3
"`` Secretary '' is owned by its costars , Spader and Gyllenhaal .",train,2
But it 's hard to imagine a more generic effort in the genre .,train,1
It 's a 100-year old mystery that is constantly being interrupted by Elizabeth Hurley in a bathing suit .,train,2
"There 's a lot of good material here , but there 's also a lot of redundancy and unsuccessful crudeness accompanying it .",train,2
"Makes the case for a strong education and good teachers being more valuable in the way they help increase an average student 's self-esteem , and not strictly in the knowledge imparted .",train,3
Proves that some movie formulas do n't need messing with -- like the big-bug movie .,train,2
Lacks the visual flair and bouncing bravado that characterizes better hip-hop clips and is content to recycle images and characters that were already tired 10 years ago .,train,1
"Because of an unnecessary and clumsy last scene , ` Swimfan ' left me with a very bad feeling .",train,1
Watching it is rather like viewing a long soap opera in which only the first episode was any good .,train,1
"Amy and Matthew have a bit of a phony relationship , but the film works in spite of it .",train,3
"Still , the updated Dickensian sensibility of writer Craig Bartlett 's story is appealing .",train,3
"Most of the information has already appeared in one forum or another and , no matter how Broomfield dresses it up , it tends to speculation , conspiracy theories or , at best , circumstantial evidence .",train,1
"When not obscured by the booming bass-heavy soundtrack , the conversation presents the kind of linguistic fumbling not heard since Macy Gray 's game of Chinese whispers with Mr Bean .",train,2
"Though writer/director Bart Freundlich 's film ultimately becomes a simplistic story about a dysfunctional parent-child relationship , it has some special qualities and the soulful gravity of Crudup 's anchoring performance .",train,3
"It takes you somewhere you 're not likely to have seen before , but beneath the exotic surface ( and exotic dancing ) it 's surprisingly old-fashioned .",train,3
"A shimmeringly lovely coming-of-age portrait , shot in artful , watery tones of blue , green and brown .",train,3
A documentary to make the stones weep -- as shameful as it is scary .,train,1
Cynics need not apply . ',train,2
"This is pure , exciting moviemaking .",train,3
The movie is n't always easy to look at .,train,2
What starts off as a possible Argentine American Beauty reeks like a room stacked with pungent flowers .,train,1
Big time .,train,2
These guys seem great to knock back a beer with but they 're simply not funny performers .,train,1
"A good-natured ensemble comedy that tries hard to make the most of a bumper cast , but never quite gets off the ground .",train,1
"77 minutes of Pokemon may not last 4ever , it just seems like it does .",train,1
Creepy but ultimately unsatisfying thriller .,train,1
"... too slow , too boring , and occasionally annoying .",train,1
"If H.G. Wells had a time machine and could take a look at his kin 's reworked version , what would he say ?",train,2
"I ca n't say that I liked Homeboy ; it 'd be more accurate to say that I found it intriguing , bizarre , Dogma-like in spots - and quite truthful , in its way .",train,2
The film makes a fatal mistake : It asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life .,train,1
A clever script and skilled actors bring new energy to the familiar topic of office politics .,train,3
It ultimately stands forth as an important chronicle of the abuses of one of Latin America 's most oppressive regimes .,train,2
"The most opaque , self-indulgent and just plain goofy an excuse for a movie as you can imagine .",train,1
"( Soderbergh ) tends to place most of the psychological and philosophical material in italics rather than trust an audience 's intelligence , and he creates an overall sense of brusqueness .",train,1
Rodriguez has the chops of a smart-aleck film school brat and the imagination of a big kid ...,train,3
Better to just call it ABC Kiarostami .,train,2
The movie quickly drags on becoming boring and predictable .,train,1
"( A ) rare , beautiful film .",train,3
Ranges from laugh-out-loud hilarious to wonder-what - time-it-is tedious .,train,2
Punish the vehicle to adore the star .,train,1
The film 's needlessly opaque intro takes its doe-eyed Crudup out of pre-9 / 11 New York and onto a cross-country road trip of the Homeric kind .,train,1
"Sam Jones became a very lucky filmmaker the day Wilco got dropped from their record label , proving that one man 's ruin may be another 's fortune .",train,3
An atonal estrogen opera that demonizes feminism while gifting the most sympathetic male of the piece with a nice vomit bath at his wedding .,train,1
Thin period piece .,train,2
"A refreshingly realistic , affectation-free coming-of-age tale .",train,3
"After a while , Hoffman 's quirks and mannerisms , particularly his penchant for tearing up on cue -- things that seem so real in small doses -- become annoying and artificial .",train,1
As it stands it 's an opera movie for the buffs .,train,2
"Equilibrium the movie , as opposed to the manifesto , is really , really stupid .",train,1
This long and relentlessly saccharine film is a clear case of preaching to the converted .,train,1
"Filmmakers David Weissman and Bill Weber benefit enormously from the Cockettes ' camera craziness -- not only did they film performances , but they did the same at home .",train,3
Writer and director Otar Iosseliani 's pleasant tale about a factory worker who escapes for a holiday in Venice reveals how we all need a playful respite from the grind to refresh our souls .,train,3
It 's a great American adventure and a wonderful film to bring to IMAX .,train,3
Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .,train,3
That 's why Sex and Lucia is so alluring .,train,3
"Windtalkers blows this way and that , but there 's no mistaking the filmmaker in the tall grass , true to himself .",train,3
A comedy that swings and jostles to the rhythms of life .,train,3
Too clumsy in key moments ... to make a big splash .,train,1
Merci pour le movie .,train,2
I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,train,3
But that 's just the problem with it - the director has n't added enough of his own ingredients .,train,1
"In its own floundering way , it gets to you .",train,3
And people make fun of me for liking Showgirls .,train,1
"There are simply too many ideas floating around -- part farce , part Sliding Doors , part pop video -- and yet failing to exploit them .",train,1
A real clunker .,train,1
"Sometimes charming , sometimes infuriating , this Argentinean ` dramedy ' succeeds mainly on the shoulders of its actors .",train,3
"There 's absolutely no reason why Blue Crush , a late-summer surfer girl entry , should be as entertaining as it is",train,3
"Bad in such a bizarre way that it 's almost worth seeing , if only to witness the crazy confluence of purpose and taste .",train,2
"We get an image of Big Papa spanning history , rather than suspending it .",train,2
"Marvelous , merry and , yes , melancholy film .",train,3
This is the case of a pregnant premise being wasted by a script that takes few chances and manages to insult the intelligence of everyone in the audience .,train,1
"I 've never seen ( a remake ) do anything as stomach-turning as the way Adam Sandler 's new movie rapes , pillages and incinerates Frank Capra 's classic ...",train,1
"A movie that 's just plain awful but still manages to entertain on a guilty-pleasure , so-bad-it 's - funny level .",train,2
"Before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway .",train,1
This is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever .,train,3
"An unsatisfying hybrid of Blair Witch and typical stalk-and-slash fare , where the most conservative protagonist is always the last one living .",train,1
"High Crimes is a cinematic misdemeanor , a routine crime thriller remarkable only for its lack of logic and misuse of two fine actors , Morgan Freeman and Ashley Judd .",train,1
"There 's just no currency in deriding James Bond for being a clichéd , doddering , misogynistic boy 's club .",train,2
Yet it 's not quite the genre-busting film it 's been hyped to be because it plays everything too safe .,train,1
An engaging criminal romp that will have viewers guessing just who 's being conned right up to the finale .,train,3
"Evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes .",train,1
"Succumbs to the same kind of maudlin , sentimental mysticism that mars the Touched by an Angel school of non-God spiritual-uplift movies .",train,1
"Return to Never Land may be another shameless attempt by Disney to rake in dough from baby boomer families , but it 's not half-bad .",train,3
It squanders Chan 's uniqueness ; it could even be said to squander Jennifer Love Hewitt !,train,1
"... certainly an entertaining ride , despite many talky , slow scenes .",train,3
"This re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against .",train,1
The movie 's seams may show ... but Pellington gives `` Mothman '' an irresistibly uncanny ambience that goes a long way toward keeping the picture compelling .,train,3
Star Wars is back in a major way .,train,3
"An energetic , violent movie with a momentum that never lets up .",train,3
He may have meant the Internet short Saving Ryan 's Privates .,train,2
The plot twists give I Am Trying to Break Your Heart an attraction it desperately needed .,train,3
"It will probably prove interesting to Ram Dass fans , but to others it may feel like a parody of the mellow , peace-and-love side of the '60s counterculture .",train,2
"Just a string of stale gags , with no good inside dope , and no particular bite .",train,1
Nothing more substantial than a fitfully clever doodle .,train,2
"If horses could fly , this is surely what they 'd look like .",train,2
"Neither Parker nor Donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .",train,3
The fly-on-the-wall method used to document rural French school life is a refreshing departure from the now more prevalent technique of the docu-makers being a visible part of their work .,train,3
"Despite the 2-D animation , The Wild Thornberrys Movie makes for a surprisingly cinematic experience .",train,3
( Denis ' ) bare-bones narrative more closely resembles an outline for a '70s exploitation picture than the finished product .,train,1
A film that will probably please people already fascinated by Behan but leave everyone else yawning with admiration .,train,2
"The film is explosive , but a few of those sticks are wet .",train,2
It 's so downbeat and nearly humorless that it becomes a chore to sit through -- despite some first-rate performances by its lead .,train,1
Schrader examines Crane 's decline with unblinking candor .,train,3
"It 's up to you to decide whether to admire these people 's dedication to their cause or be repelled by their dogmatism , manipulativeness and narrow , fearful view of American life .",train,2
Director Charles Stone III applies more detail to the film 's music than to the story line ; what 's best about Drumline is its energy .,train,3
Sensitive though not quite revelatory documentary .,train,2
"Expect the same-old , lame-old slasher nonsense , just with different scenery .",train,1
"Although Olivier Assayas ' elegantly appointed period drama seems , at times , padded with incident in the way of a too-conscientious adaptation ... its three-hour running time plays closer to two .",train,3
"The year 's happiest surprise , a movie that deals with a real subject in an always surprising way .",train,3
"The photographer 's show-don ` t-tell stance is admirable , but it can make him a problematic documentary subject .",train,2
"Unfortunately , as a writer , Mr. Montias is n't nearly as good to his crew as he is as a director or actor .",train,1
No more .,train,1
"This is a stunning film , a one-of-a-kind tour de force .",train,3
Solondz creates some effective moments of discomfort for character and viewer alike .,train,2
Fantastic !,train,3
About as big a crowdpleaser as they possibly come .,train,3
"This is historical filmmaking without the balm of right-thinking ideology , either liberal or conservative .",train,3
This is a happy throwback to the time when cartoons were cinema 's most idiosyncratic form instead of one of its most predictable .,train,3
"Hopkins , squarely fills the screen .",train,3
A film with a great premise but only a great premise .,train,3
It shows that some studios firmly believe that people have lost the ability to think and will forgive any shoddy product as long as there 's a little girl-on-girl action .,train,1
... too gory to be a comedy and too silly to be an effective horror film .,train,1
"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",train,2
With exquisite craftsmanship ... Olivier Assayas has fashioned an absorbing look at provincial bourgeois French society .,train,3
"As a science fiction movie , `` Minority Report '' astounds .",train,3
"For most movies , 84 minutes is short , but this one feels like a life sentence .",train,1
"Eventually , it wins you over .",train,3
"A hip ride into hyper-time , Clockstoppers is a lively and enjoyable adventure for all ages at any time .",train,3
No telegraphing is too obvious or simplistic for this movie .,train,1
A loquacious and dreary piece of business .,train,1
There is n't one moment in the film that surprises or delights .,train,1
"Collateral Damage is trash , but it earns extra points by acting as if it were n't .",train,1
The sound of GUNFIRE and cell phones RINGING .,train,2
"I prefer Soderbergh 's concentration on his two lovers over Tarkovsky 's mostly male , mostly patriarchal debating societies .",train,2
"A wild , endearing , masterful documentary .",train,3
"( Two ) fairly dull -- contrasting and interlocking stories about miserable Scandinavian settlers in 18th-century Canada , and yuppie sailboaters in the here and now .",train,1
"Writer-director 's Mehta 's effort has tons of charm and the whimsy is in the mixture , the intoxicating masala , of cultures and film genres .",train,3
"A pathetic exploitation film that tries to seem sincere , and just seems worse for the effort .",train,1
It shows us a slice of life that 's very different from our own and yet instantly recognizable .,train,3
... a fairly disposable yet still entertaining B picture .,train,2
"It 's sincere to a fault , but , unfortunately , not very compelling or much fun .",train,2
"We 're left with a story that tries to grab us , only to keep letting go at all the wrong moments .",train,1
"... less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror .",train,1
Gondry 's direction is adequate ... but what gives Human Nature its unique feel is Kaufman 's script .,train,3
The kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics .,train,1
This remake of Lina Wertmuller 's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since John and Bo Derek made the ridiculous Bolero .,train,1
"On a cutting room floor somewhere lies ... footage that might have made No Such Thing a trenchant , ironic cultural satire instead of a frustrating misfire .",train,1
"Miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .",train,3
"The tasteful little revision works wonders , enhancing the cultural and economic subtext , bringing richer meaning to the story 's morals .",train,3
